PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Burton, Rob J. F.; Farstad, Maja								Cultural Lock-in and Mitigating Greenhouse Gas Emissions: The Case of Dairy/Beef Farmers in Norway								SOCIOLOGIA RURALIS											10.1111/soru.12277		OCT 2019			2019	Meeting targets for reducing greenhouse gas emissions from agriculture will require the implementation of effective mitigation measures. The Intergovernmental Panel on Climate Change (IPCC) has recently recognised that to succeed we need to understand more about the conditions within which mitigation measures are applied, and for this, they note, we need insights from social science disciplines including sociology. We addressed this knowledge gap by using the concept of path-dependency and lock-in to explore barriers to change in dairy/beef systems in Norway. A qualitative survey of 29 farms found that changing parenting, recreational and spousal role expectations are driving farmers towards intensification (and thus higher emissions) in order to purchase milking robots, which, in turn, provide increased time for the expected role changes. Structural change is thus predominantly directed towards farm continuity which is making it increasingly difficult to meet mitigation targets in the future. The study illustrates how mitigation measures might be made more effective by understanding and addressing the broader cultural/structural environment within which farmers and their families operate.									0	0	0	0	0	0	0	0	0038-0199	1467-9523		WOS:000491647400001		
J	Ragosa, Giulia; Warren, Peter								Unpacking the determinants of cross-border private investment in renewable energy in developing countries								JOURNAL OF CLEANER PRODUCTION				235				854	865		10.1016/j.jclepro.2019.06.166				OCT 20 2019	2019	Private finance has emerged as a fundamental catalyst of the clean energy transition, an urgent and necessary step that must be taken in order to avert catastrophic climate change. Yet, private investment in renewable energy, although gaining momentum, remains limited in reaching some developing countries, where it is most needed. Previous research has provided some insights into the drivers and barriers faced by investors in this sector; however, these remain understudied in the context of developing country markets. This study contributes to this body of knowledge by systematically testing the effects that a variety of factors have on foreign investment in renewable power generation in developing countries, and by investigating how these effects may vary according to the source of finance. The determinants include the implementation of domestic renewable energy policies, the provision of international public finance and the wider business environment. Using panel data covering 62 countries over a 7-year period, this analysis relied on linear and logistic fixed effects models to determine what best explains the decision to invest and the volume of foreign private capital flows in the renewable energy sector. Results suggested that the provision of international public finance, regulatory support measures and feed-in tariffs, coupled with political stability, are strong drivers of cross-border investment in renewable energy in developing countries. Finally, evidence was presented that the effects of public interventions and business environment factors on investment may vary according to the source of finance, shedding light on the importance of breaking down investment flows to fully understand private financing decisions in renewable energy. (C) 2019 Elsevier Ltd. All rights reserved.									0	0	0	0	0	0	11	11	0959-6526	1879-1786		WOS:000482491500071		
J	Lin, Lijie; Luo, Ming; Chan, Ting On; Ge, Erjia; Liu, Xiaoping; Zhao, Yongquan; Liao, Weilin					GE, Erjia/0000-0002-3622-3287; Luo, Ming/0000-0002-5474-3892			Effects of urbanization on winter wind chill conditions over China								SCIENCE OF THE TOTAL ENVIRONMENT				688				389	397		10.1016/j.scitotenv.2019.06.145				OCT 20 2019	2019	Human-perceived wind chill describes the combined effects of wind velocity and low temperature, strongly related to human health and natural environment. Although long-term trends in the air or ambient temperature over China under global warming have been well studied in the literature, the changes in human-perceived wind chill conditions, especially under possible urbanization effects, are still not completely known. This paper investigates the changes of wind chill over China and quantifies the associated urbanization effect by examining nearly 2000 meteorological stations during 1961-2014 using the generalized additive model (GAM). Results show that the winter wind chill temperature (WCT) in China exhibits more prominent raising trends than the air temperature, i.e., 0.623 and 0.349 degrees C per decade, respectively. The wind speed (V) and wind chill days (WCD) decreased by 0.149 m/s and 1.970 days per decade, respectively. These trends become more substantial in densely populated and highly urbanized areas such as the North China Plain. The expansion of urban built-up area induces additional warming (reducing) to the increase (decrease) in WCT (WCD). On average, an increase from 0% to 100% in the urban fraction induced 0290 +/- 0.067 degrees C higher WCT (+/- denotes the 95% confidence interval), along with a reduction in V and WCD by 0.052 +/- 0.014 m/s and 3.513 +/- 0.387 days, respectively: whereas, the presence of the grassland and forest significantly diminishes the WCT and increases the WCD and surface V. It is expected that wind chill over China tends to be weakened under glocal warming and local urbanization in the near future. Our results have important implications for climate change mitigation, urban planning, landscape design, and air pollution abatement. (C) 2019 Elsevier B.V. All rights reserved.									0	0	0	0	0	0	36	36	0048-9697	1879-1026		WOS:000481589100039	31233919	
J	Lausselet, Carine; Ellingsen, Linda Ager-Wick; Stromman, Anders Hammer; Brattebo, Helge								A life-cycle assessment model for zero emission neighborhoods								JOURNAL OF INDUSTRIAL ECOLOGY											10.1111/jiec.12960		OCT 2019			2019	Buildings represent a critical piece of a low-carbon future, and their long lifetime necessitates urgent adoption of state-of-the-art performance standards to avoid significant lock-in risk regarding long-lasting technology solution choices. Buildings, mobility, and energy systems are closely linked, and assessing their nexus by aiming for Zero Emission Neighborhoods (ZENs) provides a unique chance to contribute to climate change mitigation. We conducted a life-cycle assessment of a Norwegian ZEN and designed four scenarios to test the influence of the house size, household size, and energy used and produced in the buildings as well as mobility patterns. We ran our scenarios with different levels of decarbonization of the electricity mix over a period of 60 years. Our results show the importance of the operational phases of both the buildings and mobility in the neighborhood's construction, and its decline over time induced by the decarbonization of the electricity mix. At the neighborhood end-of-life, embodied emissions then become responsible for the majority of the emissions when the electricity mix is decarbonized. The choice of functional unit is decisive, and we thus argue for the use of a primary functional unit "per neighborhood," and a second "per person." The use of a "per m(2)" functional unit is misleading as it does not give credits to the precautionary use of floor area. To best mitigate climate change, climate-positive behaviors should be combined with energy efficiency standards that incorporate embodied energy, and absolute threshold should be combined with behavioral changes.									0	0	0	0	0	0	2	2	1088-1980	1530-9290		WOS:000489349300001		
J	Jin, Enze; Mendis, Gamini P.; Sutherland, John W.								Integrated sustainability assessment for a bioenergy system: A system dynamics model of switchgrass for cellulosic ethanol production in the US midwest								JOURNAL OF CLEANER PRODUCTION				234				503	520		10.1016/j.jclepro.2019.06.205				OCT 10 2019	2019	Cellulosic biofuels produced from energy crops offer significant advantages over first generation biofuels. In order to understand and predict the sustainability performance of cellulosic biofuel development, this study builds a system dynamics model for a biofuel system producing cellulosic ethanol from switchgrass under different scenarios. The model can simulate the dynamic behaviors of the cellulosic biofuel system and quantify its environmental, economic, and social impacts. The projected results indicate that cellulosic ethanol production is economically viable based on advanced bioconversion technologies and can provide significant benefits to the environment, such as greenhouse gas reductions and water use savings. The cellulosic ethanol industry also can make significant contributions to the bioeconomy and social benefits. This study finds that the target of cellulosic biofuels (16 billion gallons by 2022) mandated by the revised Renewable Fuel Standard (RFS2) program cannot be achieved within land-use change constraints, but may be achieved if there is no limitation on the conversion of pasture or cropland to energy crop land. Moreover, nitrate leaching and biodiversity change should be considered when expanding energy crops on marginal land, pasture, and cropland. This model is applicable for other complex bioenergy systems as a sustainability assessment tool and can provide comprehensive insights for stakeholders and policy makers to establish and implement favorable strategies for stimulating cellulosic biofuel development. (C) 2019 Elsevier Ltd. All rights reserved.									0	0	0	0	0	0	13	13	0959-6526	1879-1786		WOS:000483406000045		
J	Eisenberg, Richard; Gray, Harry B; Crabtree, George W								Addressing the challenge of carbon-free energy.								Proceedings of the National Academy of Sciences of the United States of America											10.1073/pnas.1821674116				2019-Oct-07	2019	This century will witness a major transformation in how energy is acquired, stored, and utilized globally. The impetus for this change comes from the deep impacts that both developed and developing societies have had on our planet's environment during the past century, and the projections going forward of what will happen if we do not act transformatively within the next 2 decades. This paper describes the basis for a meeting held in October 2018 on the need for decarbonization in our energy landscape, and specifically the status and challenges of the science that provides the foundation for such technology. Within the realm of decarbonization in energy generation lies the science of solar energy conversion using new or improved photovoltaic materials and artificial photosynthesis for water splitting and other energy-storing reactions. The intimately related issue of renewable energy storage is being addressed with new strategies, materials, and approaches under current investigation and development. The need to improve the interactions between scientists working on these connected but separately considered challenges and on the transition of scientific achievement to practical application was also addressed, with specific efforts enumerated.									0	0	0	0	0	0	0	0		1091-6490		MEDLINE:31591194	31591194	
J	Valderrama, Maria A. Murcia; van Putten, Robert-Jan; Gruter, Gert-Jan M.								The potential of oxalic - and glycolic acid based polyesters (review). Towards CO2 as a feedstock (Carbon Capture and Utilization - CCU)								EUROPEAN POLYMER JOURNAL				119				445	468		10.1016/j.eurpolymj.2019.07.036				OCT 2019	2019	Plastic materials are indispensable in everyday life because of their versatility, high durability, lightness and cost effectiveness. As a consequence, worldwide plastic consumption will continue to grow from around 350 million metric tons per annum today to an estimated 1 billion metric tons per annum in 2050. For applications where polymers are applied in the environment or for applications where polymers have a bigger chance of ending up in the environment, (bio)degradable polymers need to be developed to stop endless accumulation of non degradable polymers irreversibly littering our planet.As monomers and polymers represent more than 80% of the chemical industry's total production volume, a transition from fossil feedstock today (99% of the current feedstock for polymers is fossil-based) to a significantly larger percentage of renewable feedstock in the future (carbon that is already "above the ground") will be required to meet the greenhouse gas reduction targets of the Paris Agreement ( > 80% CO2 reduction target for the European Chemical Industry sector in 2050).The combination of the predicted polymer market growth and the emergence of new feedstocks creates a fantastic opportunity for novel sustainable polymers. To replace fossil based feedstock, there are only three sustainable alternative sources: biomass, CO2 and existing plastics (via recycling). The ultimate circular feedstock would be CO2: it can be electrochemically reduced to formic acid derivatives that can subsequently be converted into useful monomers such as glycolic acid and oxalic acid. In order to assess the future potential for these polyester building blocks, we will review the current field of polyesters based on these two monomers. Representative synthesis methods, general properties, general degradation mechanisms, and recent applications will be discussed in this review. The application potential of these polyesters for a wide range of purposes, as a function of production cost, will also be assessed. It is important to note that polymers derived from CO2 do not necessarily always lead to lower net overall CO2 emissions (during production of after use, e.g. degradation in landfills). This needs to be evaluated using robust LCA's and this information is currently not available for the materials discussed in this review.									1	0	0	0	0	1	0	0	0014-3057	1873-1945		WOS:000489191900051		
J	Sharifi, Ayyoob				Sharifi, Ayyoob/M-7584-2013	Sharifi, Ayyoob/0000-0002-8983-8613			Urban form resilience: A meso-scale analysis								CITIES				93				238	252		10.1016/j.cities.2019.05.010				OCT 2019	2019	Impacted by the compounding effects of climate change and urbanization, cities are facing a panoply of risks that threaten their sustainability. Recognizing the potentially catastrophic ramifications of inaction, local governments are increasingly involved in resilience-building activities that are informed by a vast body of research related to different socio-economic, environmental, and institutional aspects of urban planning and design. However, despite its significant impacts on growth and evolution of cities, limited research exists on how urban form can enhance resilience by increasing the abilities to plan for, absorb, recover from, and adapt to adverse events. As a step towards filling this gap, this paper explores how meso-scale urban form elements can affect urban resilience. This is done through synthesizing theoretical and empirical evidence reported in the literature. The focus is on morphological parameters related to the following urban form elements: neighborhoods, blocks, lots, and open spaces. Results show that existing evidence is mainly related to the associations between neighborhood density, size and configuration of open spaces, and land use mix' and resilience to 'climate change impacts', 'earthquakes', 'social issues', and 'resource scarcity'. There is also considerable evidence on the association between design of blocks/lots and resilience in terms of climate change adaptation/mitigation and adaptability to changing circumstances. The analysis also shows that each element influences and is influenced by other elements in the urban system and different elements should not be studied in isolation and the interplay between them should be considered. Existing evidence on conflicts is mainly related to density, but measures related to other elements may also involve conflicts. The paper concludes with a set of recommendations for future research towards improving resilience of urban form at the meso-scale.									0	0	0	0	0	0	2	2	0264-2751	1873-6084		WOS:000488142900021		
J	Liu, Hongyan; Leng, Shuying; He, Canfei; Peng, Jian; Piao, Shilong; Wang, Xuejun					Liu, Hongyan/0000-0002-6721-4439; peng, jian/0000-0003-0332-0248			China's road towards sustainable development: Geography bridges science and solution								PROGRESS IN PHYSICAL GEOGRAPHY-EARTH AND ENVIRONMENT				43	5			694	706		10.1177/0309133319851026				OCT 2019	2019	Seventeen sustainable development goals (SDGs) were put forward at the United Nations Development Summit in 2015 when releasing "Transforming our world: The 2030 Agenda for Sustainable Development". However, the international community still lacks understanding of how to make a bridge between scientific research and SDGs. China has experienced 40 years of rapid economic growth and social development, which have imposed considerable challenges on sustainable development. Although many disciplines have made contributions to promoting sustainable development in China, how to bridge SDGs and scientific research is still not fully clear. In this paper, we review the contribution of geographers to this issue to provide references for further international efforts towards meeting the SDGs. We consider three aspects in particular: the sensitive process capture of regional responses and feedbacks to global change; the cognition and geographical solution of human-environment conflicts; and the mutual promotion of spatial governance and geographical practices. The contribution of geography as a discipline to the sustainable development of China is an epitome of geographers' efforts over the world. The practices experienced in China show that geography has played an irreplaceable role in promoting sustainable development, and can deal effectively with the challenges posed to the academic community by SDGs. As a discipline, geography has been deeply integrated into sustainable development. In the future, geography should become a key discipline in integrating many disciplines involved in sustainable development studies, and provide real-time decision support systems for sustainable development by combining big data and artificial intelligence.									2	0	0	0	0	2	5	5	0309-1333	1477-0296		WOS:000488692800005		
J	Yu, Tai-Kuei; Lin, Feng-Yi; Kao, Kai-Yun; Chao, Cheng-Min; Yu, Tai-Yi								An innovative environmental citizen behavior model: Recycling intention as climate change mitigation strategies								JOURNAL OF ENVIRONMENTAL MANAGEMENT				247				499	508		10.1016/j.jenvman.2019.06.101				OCT 1 2019	2019	Climate change has been led to the increasing magnitude of frequency and severity of extreme weather, causing serious damage to overall economy of a country and individual economy of enterprises. Only relying on government subsidy to combat the impact of climate change, the work could be in vain. This study tries to use recycling action as mitigation strategies of climate change, and analyze the dominant influencing factors that affect recycling intention. This study stands in the perspective of green education in universities, regards the recycling intentions in response to climate change as pro-environmental behaviors, and revises and verifies the citizen pro-environmental behavior model. The green educations programs can communicate, promote, active and internalize the environmental citizenship through resource recycling intentions. Students learn about the importance of advocacy and activism to environmental citizenship, then generate environmentally sustainable and recycling intentions, and achieve the goal of improving the environment and mitigating to climate change.									0	0	0	0	0	0	16	16	0301-4797	1095-8630		WOS:000483635000050	31255964	
