PT	AN	DT	TI	FT	AU	CA	SO	VL	IS	PS	PY	PD	LA	U1	U2	AB	A2	C1	RI	OI	MH	SS	ID	SD	GN	CN	NM	SF	SC	SN	JC	PA	GI	OB	SA	IV	NR	RC	NO	PE	NT	DI	UT	OA	HC	HP	DA
J	31591194	Journal Article	Addressing the challenge of carbon-free energy.		Eisenberg, Richard; Gray, Harry B; Crabtree, George W		Proceedings of the National Academy of Sciences of the United States of America				2019	2019 Oct 07 (Epub 2019 Oct 07)	English	0	0	This century will witness a major transformation in how energy is acquired, stored, and utilized globally. The impetus for this change comes from the deep impacts that both developed and developing societies have had on our planet's environment during the past century, and the projections going forward of what will happen if we do not act transformatively within the next 2 decades. This paper describes the basis for a meeting held in October 2018 on the need for decarbonization in our energy landscape, and specifically the status and challenges of the science that provides the foundation for such technology. Within the realm of decarbonization in energy generation lies the science of solar energy conversion using new or improved photovoltaic materials and artificial photosynthesis for water splitting and other energy-storing reactions. The intimately related issue of renewable energy storage is being addressed with new strategies, materials, and approaches under current investigation and development. The need to improve the interactions between scientists working on these connected but separately considered challenges and on the transition of scientific achievement to practical application was also addressed, with specific efforts enumerated.		Department of Chemistry, University of Rochester, Rochester, NY 14627; eisenberg@chem.rochester.edu.; Division of Chemistry and Chemical Engineering, California Institute of Technology, Pasadena, CA 91125.; The Beckman Institute, California Institute of Technology, Pasadena, CA 91125.; Joint Center for Energy Storage Research, Argonne National Laboratory, Lemont, IL 60439.; Department of Physics, University of Illinois at Chicago, Chicago, IL 60607.				Index Medicus	climate change; decarbonization; energy; renewable energy; solar energy							1091-6490	7505876	United States			Publisher			 / 08 Oct 2019		07 Oct 2019		10.1073/pnas.1821674116	MEDLINE:31591194	Other Gold, Green Accepted			2019-11-07
J	31478173	Journal Article	Divisional disparities on climate change adaptation and mitigation in Punjab, Pakistan: local perceptions, vulnerabilities, and policy implications.		Hussain, Mudassar; Butt, Abdul Rahman; Uzma, Faiza; Ahmed, Rafay; Rehman, Abdul; Ali, Muhammad Ubaid; Ullah, Habib; Yousaf, Balal		Environmental science and pollution research international	26	30	31491-31507	2019	2019 Oct (Epub 2019 Sep 02)	English	1	1	Climate change is a global challenge faced by everyone, but the developing countries are highly vulnerable to variations in the environment. This research focuses on the Punjab province of Pakistan and evaluates the impacts and consequences of climate change on general public at local and divisional level. In order to cope with the impacts of climatic changes at all levels, especially divisional level, raising reliable awareness and dispersing actionable knowledge regarding mitigating and adapting measures is significantly important. Therefore, recognition of information gaps, improvements in the level of alertness, and development of preventive measures in each sector is imperative. The impacts of climate change are observed across the country through gradual increase in temperature, human health issues, pest diseases, droughts, floods, and irregular weather patterns leading to changes in lifestyles, and these issues are likely to continue in the future. The main cause of climate change in Punjab, Pakistan, can be attributed to excessive release of greenhouse gases (GHG) into the atmosphere due to human activities involving inefficient energy usage, rapid urban expansion, improper waste management, industrial development, increasing transportation, agricultural activities, and livestock mismanagement. The findings of this study revealed that transportation sector is the major source of GHG emissions in the country, followed by industrialization and waste, at national, as well as divisional, level. The extent of impacts of climate change at divisional level is distinguishable and displayed a direct relationship with climate, geography, variation of effects, and modes of production in various regions of Punjab. The study strategically investigated all nine divisions of the province for comprehensive understanding of climate change phenomenon, and the results indicated that nearly three-fourths of the respondents have never indulged in taking steps towards climate change mitigation and adaptation. The study adopted a mixed (qualitative and quantitative) approach where the findings can act as set of guidelines for governmental authorities in formulating, assisting in preparation, instructing, and guiding policies for climate change mitigation and adaptation at national, local, and divisional levels. Graphical abstract.		School of Economics and Management, Nanjing University of Science and Technology, Nanjing, 210094, People's Republic of China.; School of Public Affairs, University of Science and Technology of China, Hefei, 230026, People's Republic of China.; Research Group for Climate Change adaptation, Department of Environmental Science, The University of Lahore, Lahore, Punjab, 54000, Pakistan.; Hefei National Laboratory for Physical Sciences at the Microscale, University of Science and Technology of China, Hefei, 230026, Anhui, People's Republic of China.; Synergetic Innovation Center of Quantum Information and Quantum Physics, University of Science and Technology of China, Hefei, 230026, Anhui, People's Republic of China.; CAS Key Laboratory of Crust-Mantle Materials and the Environments, School of Earth and Space Sciences, University of Science and Technology of China, Hefei, 230026, People's Republic of China.; CAS Key Laboratory of Crust-Mantle Materials and the Environments, School of Earth and Space Sciences, University of Science and Technology of China, Hefei, 230026, People's Republic of China. balal@ustc.edu.cn.	Yousaf, Balal/M-7567-2015	Yousaf, Balal/0000-0003-2732-2176		Index Medicus	Climate change adaptation; Divisional disparities; Local perceptions; Mitigation strategies; Pakistan							1614-7499	9441769	Germany	41672144 / National Natural Science Foundation of ChinaNational Natural Science Foundation of China. WK2080000103 / Fundamental Research Funds for the Central UniversitiesFundamental Research Funds for the Central Universities. 2018FYB0002 / CAS-Young Scientist Award		In-Process			 / 05 Nov 2019		02 Sep 2019		10.1007/s11356-019-06262-z	MEDLINE:31478173				2019-11-07
J	31521038	Journal Article	Are de jure and de facto globalization undermining the environment? Evidence from high and low globalized EU countries.		Hipolito Leal, Patricia; Cardoso Marques, Antonio		Journal of environmental management	250		109460	2019	2019 Sep 11 (Epub 2019 Sep 11)	English	0	0	Copyright © 2019 Elsevier Ltd. All rights reserved.Globalization as a mechanism to connect people at distance and share knowledge has been flourishing. Simultaneously, environmental degradation has been increasing, as reflected in global warming. Through three dimensions, the economic, the social and political, and two measures, de jure and de facto, this study provides a disaggregated analysis of the effect of globalization on the critical issue of global warming for 25 European Union countries from 1990 to 2016. To emphasize globalization, the countries analysed were evaluated by two measures of globalization, de jure and de facto, resulting in their classification as high or low globalized countries de jure and de facto. Furthermore, energy consumption, economic growth and efficiency were included in an Autoregressive Distributed Lag model performed with the Driscoll-Kraay estimator. Robustness was checked using a Feasible Generalized Least Squares estimator. The results revealed that, overall, globalization increases environmental degradation, with the de jure measure having greater influence on high-globalized countries and the de facto measure having greater influence on low-globalized countries. Bearing in mind the increase in worldwide emissions driven by globalization, practices such as the relocation of polluting industries from high globalized countries should be discouraged. Incentives to harmonize global environmental restrictions could contribute to decarbonization worldwide.		University of Beira Interior, Management and Economics Department, Portugal; NECE-UBI, University of Beira Interior, Rua Marques d'Avila e Bolama, 6201-001, Covilha, Portugal.; University of Beira Interior, Management and Economics Department, Portugal; NECE-UBI, University of Beira Interior, Rua Marques d'Avila e Bolama, 6201-001, Covilha, Portugal. Electronic address: amarques@ubi.pt.	Marques, Antonio Cardoso/D-2235-2011	Marques, Antonio Cardoso/0000-0002-9906-3874; Leal, Patricia/0000-0003-3953-4037		Index Medicus	Carbon dioxide emissions; Efficiency index; European union countries; Globalization de facto; Globalization de jure							1095-8630	0401664	England			Publisher			 / 20 Sep 2019		11 Sep 2019		10.1016/j.jenvman.2019.109460	MEDLINE:31521038				2019-11-07
J	30526935	Journal Article	Pollution prevention and climate change mitigation: measuring the health benefits of comprehensive interventions.		Landrigan, Philip; Fuller, Richard; Haines, Andy; Watts, Nick; McCarthy, Gina		The Lancet. Planetary health	2	12	e515-e516	2018	2018 12	English	0	0			Schiller Institute for Integrated Science & Society, Boston College, Chestnut Hill, MA, 02467, USA. Electronic address: phil.landrigan@bc.edu.; Pure Earth, Blacksmith Institute, New York, NY, USA.; London School of Hygiene & Tropical Medicine, London, UK.; Institute for Global Health, University College London, London, UK.; Center for Climate, Health and the Global Environment, Harvard TH Chan School of Public Health, Boston, MA, USA.			*Climate Change. Environmental Pollution / *prevention & control. Global Health. Humans. Public Policy	Index Medicus							Meteorology & Atmospheric Sciences; Public, Environmental & Occupational Health; Environmental Sciences & Ecology; Toxicology; Sociology (provided by Clarivate Analytics)	2542-5196	101704339	Netherlands			MEDLINE			 / 02 Sep 2019 / 02 Sep 2019				10.1016/S2542-5196(18)30226-2	MEDLINE:30526935	DOAJ Gold, Green Published			2019-11-07
J	27699202	Journal Article; Research Support, Non-U.S. Gov't	Low-Carbon Watershed Management: Potential of Greenhouse Gas Reductions from Wastewater Treatment in Rural Vietnam.		Nguyen, Lan Huong; Mohan, Geetha; Jian, Pu; Takemoto, Kazuhiko; Fukushi, Kensuke		TheScientificWorldJournal	2016		6523217	2016	2016  (Epub 2016 Sep 08)	English	1	7	Currently in many cities and rural areas of Vietnam, wastewater is discharged to the environment without any treatment, which emits considerable amount of greenhouse gas (GHG), particularly methane. In this study, four GHG emission scenarios were examined, as well as the baseline scenario, in order to verify the potential of GHG reduction from domestic wastewater with adequate treatment facilities. The ArcGIS and ArcHydro tools were employed to visualize and analyze GHG emissions resulting from discharge of untreated wastewater, in rural areas of Vu Gia Thu Bon river basin, Vietnam. By applying the current IPCC guidelines for GHG emissions, we found that a reduction of GHG emissions can be achieved through treatment of domestic wastewater in the studied area. Compared with baseline scenario, a maximum 16% of total GHG emissions can be reduced, in which 30% of households existing latrines are substituted by Japanese Johkasou technology and other 20% of domestic wastewater is treated by conventional activated sludge.		Graduate Program in Sustainability Science-Global Leadership Initiative (GPSS-GLI), Graduate School of Frontier Sciences, The University of Tokyo, Chiba 277-8563, Japan.; Integrated Research System for Sustainability Science (IR3S), The University of Tokyo, Tokyo 113-8654, Japan.; The United Nations University Institute for the Advanced Study of Sustainability, Tokyo 150-8925, Japan.; The University of Tokyo Institutes for Advanced Studies (UTIAS), Integrated Research System for Sustainability Science (IR3S), The University of Tokyo, Tokyo 113-8654, Japan.		Geetha, Mohan/0000-0001-6241-8750	Cities. *Gases. *Greenhouse Effect. Methane. Vietnam. *Waste Water. Water Purification / *methods	Index Medicus				0 / Gases. 0 / Waste Water. OP0UW79H66 / Methane			Environmental Sciences & Ecology; Public, Environmental & Occupational Health (provided by Clarivate Analytics)	1537-744X	101131163	United States			MEDLINE			 / 13 Nov 2017 / 13 Nov 2017		08 Sep 2016			MEDLINE:27699202	DOAJ Gold, Green Published			2019-11-07
J	26228857	Editorial	[Meat consumption reduction policies: benefits for climate change mitigation and health].	Politiche di riduzione del consumo di carne in Italia: contrasto ai cambiamenti climatici e benefici per la salute.	Michelozzi, Paola; Lapucci, Enrica; Farchi, Sara		Recenti progressi in medicina	106	8	354-7	2015	2015 Aug	Italian	0	5	Agricultural food production substantially contributes to green house gas (GHG) emissions worldwide and 80% of the agricultural emissions arise from the livestock sector, in particular from ruminants. Meat consumption is generally above dietary recommendations in many countries, including Italy, and it is increasing in developing countries. Although meat is a source of essential nutrients, it provides large amounts of saturated fat, which is a known risk factor for obesity and for several diseases such as stroke, breast cancer and colon cancer. Dietary changes, with lower intake of red and processed meat, are likely to be beneficial for improving health and for the environment by reducing emissions of GHG. Data on meat consumption in Italy among adults, referred to the last ten years, shows heterogeneity among regions, with the highest consumption in the North-western regions and generally with higher consumption among males. We describe meat consumption distribution worldwide, in Europe and Italy. An assessment of the potential environmental and health co-benefits considering different reduction scenarios of red meat consumption in Italy is provided. Dietary changes can substantially lower GHG and coordinated actions are needed across public health and other sectors to promote healthy, low-emission diets.			Michelozzi, Paola/J-8608-2016; Lapucci, Enrica/K-4907-2018	Michelozzi, Paola/0000-0002-1646-2555; Lapucci, Enrica/0000-0002-8951-1901	Adult. Agriculture / *trends. Animals. *Climate Change. Diet / adverse effects; *trends. Europe. Female. Greenhouse Effect / *prevention & control. Health Promotion / methods. Humans. Italy. Livestock. Male. Meat / adverse effects. Public Health. Risk Factors	Index Medicus							Agriculture; Meteorology & Atmospheric Sciences; Nutrition & Dietetics; Environmental Sciences & Ecology; Health Care Sciences & Services; Food Science & Technology; Public, Environmental & Occupational Health (provided by Clarivate Analytics)	2038-1840	0401271	Italy			MEDLINE			 / 13 Dec 2016 / 30 Dec 2016				10.1701/1960.21296	MEDLINE:26228857				2019-11-07
J	23561024	Journal Article; Research Support, Non-U.S. Gov't	Climate change threats to population health and well-being: the imperative of protective solutions that will last.		Kjellstrom, Tord; McMichael, Anthony J		Global health action	6		20816	2013	2013 Apr 03	English	0	0	BACKGROUND: The observational evidence of the impacts of climate conditions on human health is accumulating. A variety of direct, indirect, and systemically mediated health effects have been identified. Excessive daily heat exposures create direct effects, such as heat stroke (and possibly death), reduce work productivity, and interfere with daily household activities. Extreme weather events, including storms, floods, and droughts, create direct injury risks and follow-on outbreaks of infectious diseases, lack of nutrition, and mental stress. Climate change will increase these direct health effects. Indirect effects include malnutrition and under-nutrition due to failing local agriculture, spread of vector-borne diseases and other infectious diseases, and mental health and other problems caused by forced migration from affected homes and workplaces. Examples of systemically mediated impacts on population health include famine, conflicts, and the consequences of large-scale adverse economic effects due to reduced human and environmental productivity. This article highlights links between climate change and non-communicable health problems, a major concern for global health beyond 2015.DISCUSSION: Detailed regional analysis of climate conditions clearly shows increasing temperatures in many parts of the world. Climate modelling indicates that by the year 2100 the global average temperature may have increased by 34°C unless fundamental reductions in current global trends for greenhouse gas emissions are achieved. Given other unforeseeable environmental, social, demographic, and geopolitical changes that may occur in a plus-4-degree world, that scenario may comprise a largely uninhabitable world for millions of people and great social and military tensions.CONCLUSION: It is imperative that we identify actions and strategies that are effective in reducing these increasingly likely threats to health and well-being. The fundamental preventive strategy is, of course, climate change mitigation by significantly reducing global greenhouse gas emissions, especially long-acting carbon dioxide (CO(2)), and by increasing the uptake of CO(2) at the earth's surface. This involves urgent shifts in energy production from fossil fuels to renewable energy sources, energy conservation in building design and urban planning, and reduced waste of energy for transport, building heating/cooling, and agriculture. It would also involve shifts in agricultural production and food systems to reduce energy and water use particularly in meat production. There is also potential for prevention via mitigation, adaptation, or resilience building actions, but for the large populations in tropical countries, mitigation of climate change is required to achieve health protection solutions that will last.		Division of Epidemiology and Global Health, Umea Centre for Global Health Research, Umea University, Umea, Sweden. kjellstromt@yahoo.com			*Climate Change. Environment. Environmental Policy. *Health Status. Humans. Models, Statistical. Socioeconomic Factors	Index Medicus	adaptation; climate change; health; mitigation; well-being						Meteorology & Atmospheric Sciences; Environmental Sciences & Ecology; Sociology; Demography (provided by Clarivate Analytics)	1654-9880	101496665	United States			MEDLINE			 / 15 Jul 2013 / 13 Nov 2018	Erratum in: Glob Health Action. 2014 Dec;7(1):25010 / PMID: 28672479	03 Apr 2013		10.3402/gha.v6i0.20816	MEDLINE:23561024	DOAJ Gold, Green Published			2019-11-07
J	22877419	Journal Article	A bottom-up approach to estimating cost elements of REDD+ pilot projects in Tanzania.		Merger, Eduard; Held, Christian; Tennigkeit, Timm; Blomley, Tom		Carbon balance and management	7	1	9	2012	2012 Aug 09	English	0	9	BACKGROUND: Several previous global REDD+ cost studies have been conducted, demonstrating that payments for maintaining forest carbon stocks have significant potential to be a cost-effective mechanism for climate change mitigation. These studies have mostly followed highly aggregated top-down approaches without estimating the full range of REDD+ costs elements, thus underestimating the actual costs of REDD+. Based on three REDD+ pilot projects in Tanzania, representing an area of 327,825 ha, this study explicitly adopts a bottom-up approach to data assessment. By estimating opportunity, implementation, transaction and institutional costs of REDD+ we develop a practical and replicable methodological framework to consistently assess REDD+ cost elements.RESULTS: Based on historical land use change patterns, current region-specific economic conditions and carbon stocks, project-specific opportunity costs ranged between US$ -7.8 and 28.8 tCOxxxx for deforestation and forest degradation drivers such as agriculture, fuel wood production, unsustainable timber extraction and pasture expansion. The mean opportunity costs for the three projects ranged between US$ 10.1 - 12.5 tCO2. Implementation costs comprised between 89% and 95% of total project costs (excluding opportunity costs) ranging between US$ 4.5 - 12.2 tCO2 for a period of 30 years. Transaction costs for measurement, reporting, verification (MRV), and other carbon market related compliance costs comprised a minor share, between US$ 0.21 - 1.46 tCO2. Similarly, the institutional costs comprised around 1% of total REDD+ costs in a range of US$ 0.06 - 0.11 tCO2.CONCLUSIONS: The use of bottom-up approaches to estimate REDD+ economics by considering regional variations in economic conditions and carbon stocks has been shown to be an appropriate approach to provide policy and decision-makers robust economic information on REDD+. The assessment of opportunity costs is a crucial first step to provide information on the economic baseline situation of deforestation and forest degradation agents and on the economic incentives required to halt unsustainable land use. Since performance based REDD+ carbon payments decrease over time (as deforestation rates drop and for each saved ha of forest payments occur once), investments in REDD+ implementation have a crucial role in triggering sustainable land use systems by investing in the underlying assets and the generation of sustainable revenue streams to compensate for opportunity costs of land use change. With a potential increase in the land value due to effective REDD+ investments, expenditures in an enabling institutional environment for REDD+ policies are crucial to avoid higher deforestation pressure on natural forests.		UNIQUE forestry and land use, Schnewlinstrasse 10, 79098, Freiburg, Germany. eduard.merger@unique-landuse.de.												1750-0680	101271519	England		NLM	PubMed-not-MEDLINE			 / 02 Oct 2012 / 27 Feb 2013		09 Aug 2012		10.1186/1750-0680-7-9	MEDLINE:22877419	DOAJ Gold, Green Published			2019-11-07
J	20637169	Journal Article	Climate change, food insecurity and chronic diseases: sustainable and healthy policy opportunities for Australia.		Friel, Sharon		New South Wales public health bulletin	21	5-6	129-33	2010	2010 	English	0	5	Food provides a link between the population health and climate stabilisation agendas. This paper argues that a broader view of food security for the 21st century in Australia and internationally is needed--one that judges the food system for its nutritional quality, social value and impact on the environment. If done well, climate change mitigation and adaptation policies provide ways to achieve this. This paper focuses on mitigation strategies, and describes how the reduction of greenhouse gas emissions from the agricultural sector through a reduction in consumption of animal source foods can improve food security and reduce the levels of chronic diseases such as cardiovascular diseases and some cancers.		National Centre for Epidemiology and Population Health, The Australian National University. Sharon.friel@anu.edu.au		Friel, Sharon/0000-0002-8345-5435	Australia. *Chronic Disease. *Climate Change. *Food Supply / standards. Health Policy / *legislation & jurisprudence. Humans	Index Medicus							Pathology; Meteorology & Atmospheric Sciences; Food Science & Technology; Sociology; Government & Law (provided by Clarivate Analytics)	1839-4345	9712270	Australia			MEDLINE			 / 30 Aug 2011 / 16 Dec 2014				10.1071/NB10019	MEDLINE:20637169	DOAJ Gold			2019-11-07
J	19261210	Journal Article; Review	Active travel: a climate change mitigation strategy with co-benefits for health.		Rissel, Chris E		New South Wales public health bulletin	20	1-2	10-3	2009	2009 	English	1	7	Reducing the burning of fossil fuels for transport will help reduce the rate of climate change and the severity of the impact of climate change. The alternatives to private motor vehicles include active travel modes such as walking, cycling and use of public transport. While simultaneously reducing carbon dioxide emissions and traffic congestion, active transport leads to increased levels of physical activity and social interaction. This article summarises a number of NSW active travel initiatives. Despite some positive steps in NSW, other Australian states have invested far more and can demonstrate greater changes in travel behaviour.		Health Promotion Service, Sydney South West Area Health Service School of Public Health, University of Sydney. criss@email.cs.nsw.gov.au		Rissel, Chris/0000-0002-2156-8581	Air Pollution / *prevention & control. Atmosphere. Australia. Bicycling. Carbon Dioxide / *analysis; chemistry. *Greenhouse Effect. *Health Promotion. Humans. Interpersonal Relations. Motor Activity. New South Wales. *Public Sector. *Transportation. Walking	Index Medicus				142M471B3J / Carbon Dioxide			Public, Environmental & Occupational Health; Environmental Sciences & Ecology; Toxicology; Meteorology & Atmospheric Sciences; Sport Sciences; Social Sciences - Other Topics; Health Care Sciences & Services; Behavioral Sciences; Psychology (provided by Clarivate Analytics)	1034-7674	9712270	Australia			MEDLINE		10	 / 18 Jun 2009 / 21 Nov 2013					MEDLINE:19261210	DOAJ Gold			2019-11-07
